IDE,DT,O,C,H,L,V,A,turnover
11,1990-12-19,458.766,462.796,462.796,458.493,4940.9881976395,494000,0.000
11,1990-12-20,467.047,467.134,467.134,462.796,804.67477727752,84000,0.000
11,1990-12-21,471.541,471.596,471.596,466.496,146.61412993677,16000,0.000
11,1990-12-24,475.604,476.468,476.468,471.596,270.6241815801,31000,0.000
11,1990-12-25,481.214,481.348,481.348,476.468,49.89604989605,6000,0.000
11,1990-12-26,485.458,485.458,485.458,481.348,423.08613395067,53000,0.000
11,1990-12-27,485.458,485.466,485.466,485.458,830.1404853129,104000,0.000
11,1990-12-28,486.353,486.401,486.401,485.466,695.92724396995,88000,0.000
11,1990-12-31,486.488,487.318,487.318,486.424,470.18258757151,60000,0.000
11,1991-01-02,487.318,488.282,488.282,487.318,457.93231915554,59000,0.000
11,1991-01-03,488.282,489.291,489.291,488.282,714.61502996773,93000,0.000
11,1991-01-04,490.160,490.290,490.290,489.291,1985.6968959221,261000,0.000
11,1991-01-07,490.710,490.763,490.763,490.298,1067.6965015902,141000,0.000
11,1991-01-08,491.188,491.234,491.234,490.763,13611.697316853,1806000,0.000
11,1991-01-09,491.702,491.733,491.733,491.234,24208.789560522,3228000,0.000
11,1991-01-10,492.176,492.206,492.206,491.733,40300.067179219,5399000,0.000
11,1991-01-11,492.685,492.678,492.685,492.611,52860.326894502,7115000,0.000
11,1991-01-14,492.311,492.730,493.117,492.311,51110.121036608,6883000,0.000
11,1991-01-15,492.386,492.782,492.782,492.371,7495.9180644204,1010000,0.000
11,1991-01-16,492.371,492.409,492.782,492.334,2011.3230035757,270000,0.000
11,1991-01-17,491.981,492.416,492.416,491.966,2487.895716946,334000,0.000
11,1991-01-18,492.004,492.409,492.416,491.981,11695.47079857,1570000,0.000
11,1991-01-21,492.004,492.409,492.409,491.974,7665.3754469607,1029000,0.000
11,1991-01-22,492.019,492.019,492.409,491.974,1346.0963206701,180000,0.000
11,1991-01-23,491.604,491.604,492.019,491.582,4317.7892918826,575000,0.000
11,1991-01-24,491.181,491.181,491.604,491.151,6915.0139506825,917000,0.000
11,1991-01-25,490.756,490.756,490.771,490.740,13040.514956456,1722000,0.000
11,1991-01-28,490.306,490.306,490.374,490.306,19511.638521223,2565000,0.000
11,1991-01-29,489.915,489.915,489.930,489.915,5421.9167621229,710000,0.000
11,1991-01-30,489.523,489.523,489.915,489.500,1993.2536031892,260000,0.000
11,1991-01-31,489.129,489.160,489.538,489.129,1877.3563129953,244000,0.000
11,1991-02-01,488.796,488.804,489.160,488.757,1080.9976063624,140000,0.000
11,1991-02-04,488.446,488.446,488.858,488.446,2115.4591243704,273000,0.000
11,1991-02-05,488.064,488.079,488.079,488.040,33053.351998756,4250000,0.000
11,1991-02-06,488.508,488.516,488.524,487.672,29789.375871148,3847000,0.000
11,1991-02-07,488.982,489.021,489.021,488.516,11587.949765005,1504000,0.000
11,1991-02-08,489.461,489.477,489.484,489.021,6741.8315692591,879000,0.000
11,1991-02-11,489.892,489.930,489.930,489.484,36909.215850958,4834000,0.000
11,1991-02-12,490.367,490.221,490.382,489.930,15119.908641035,1986000,0.000
11,1991-02-13,490.664,490.657,490.664,490.221,5101.5767131595,673000,0.000
11,1991-02-14,491.120,491.120,491.120,490.946,14208.103825549,1883000,0.000
11,1991-02-19,491.567,491.574,491.582,491.536,9133.9292420942,1216000,0.000
11,1991-02-20,491.951,491.981,491.981,491.574,3890.1773023117,520000,0.000
11,1991-02-21,492.409,492.439,492.439,491.981,13188.859100387,1771000,0.000
11,1991-02-22,492.864,492.879,492.879,492.439,14851.338325795,2003000,0.000
11,1991-02-25,492.506,492.528,492.879,492.476,4620.5357142857,621000,0.000
11,1991-02-26,492.154,492.176,492.558,492.154,19002.463973718,2545000,0.000
11,1991-02-27,491.808,491.831,492.214,491.808,1056.4171723983,141000,0.000
11,1991-02-28,491.468,491.484,491.868,491.461,8924.1410420269,1187000,0.000
11,1991-03-01,491.120,491.120,491.120,491.075,28499.207726552,3777000,0.000
11,1991-03-04,490.786,490.710,490.786,490.702,10743.2381241,1418000,0.000
11,1991-03-05,490.275,490.306,490.710,490.267,7104.8227597748,934000,0.000
11,1991-03-06,489.869,489.907,489.915,489.869,10271.880250496,1345000,0.000
11,1991-03-07,489.500,489.500,489.907,489.500,3274.2887815352,427000,0.000
11,1991-03-08,489.059,489.098,489.500,489.059,4165.0627454,541000,0.000
11,1991-03-11,488.641,488.648,489.098,488.641,2312.2728327276,299000,0.000
11,1991-03-12,488.197,488.228,488.648,488.197,6080.6088374621,783000,0.000
11,1991-03-13,486.146,486.162,488.228,486.146,3313.5156559651,418000,0.000
